population_size, max_generations, sequence, selection_type, tournament_size, has_crossover, crossover_type, has_mutation, umad_add_rate, umad_del_rate, has_elitism, genome, generations_taken, best_error, diversity, avg_size, time_taken, found_solution
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [-1 x + + 1 -1 - / - 0 x / - 1 / / / 1 - / x + x + 0 + + / + + / /], 300, 20, 1.0, 27.714, 1693065.823279, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* x x x x + + x / / x x / - x x + +], 300, 20, 1.0, 22.562, 1707829.467464, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 x 0 -1 + x 0 x + x / -1 - / x - - + + + / + +], 300, 20, 0.999, 27.403, 1788237.835523, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x + 1 / x / -1 * x + / / - x + x -1 -1 + / 0 + + x +], 300, 20, 1.0, 25.745, 1884797.465636, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [-1 x x x x x / / -1 + 1 1 + / + + +], 300, 20, 0.985, 24.76, 1520382.346249, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x 1 1 + -1 - / x * 1 -1 - / + *], 300, 19, 0.998, 24.032, 1470716.760523, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x -1 0 x -1 + + -1 -1 + + / * / - x +], 300, 19, 1.0, 27.549, 1597865.436125, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x - -1 -1 + / * x + x x / - x + +], 300, 20, 0.995, 21.497, 1644049.889493, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x / - x x 1 - 1 1 + / + +], 300, 20, 0.994, 22.069, 1463755.520084, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x / - 1 x 1 1 1 -1 - + + - 1 -1 - - * / x + x +], 300, 17, 1.0, 21.525, 1581582.337829, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x + + x x / - + -1 x + -1 -1 + / -], 300, 20, 1.0, 22.836, 1559591.864895, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 - 1 1 -1 * - -1 x x x / x * x / 1 x 1 -1 - / - -1 - / - 1 / x +], 300, 18, 1.0, 27.297, 1579203.196836, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x + x 1 - 1 - 1 -1 - / + x x 1 + 1 -1 - 1 / / / / x +], 300, 17, 0.998, 35.229, 1699873.238647, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 1 x -1 -1 / / 1 + -1 -1 + 1 + * / + - x -1 x + 1 1 + / + +], 300, 20, 1.0, 28.746, 1841307.380976, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* 1 1 0 + -1 / x -1 1 + 1 x -1 x + 1 -1 - / 1 x -1 - / x -1 + + x + +], 300, 20, 1.0, 30.646, 1913298.76266, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x + 1 x - x x / 1 + / -1 - - + -], 300, 20, 0.989, 22.512, 1259860.461791, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x 1 - x 1 1 + / - + 1 -1 x + x 0 * / + x / 1 + x -1 * - x 1 1 + - / / / +], 300, 18, 1.0, 28.322, 1946158.421827, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x / 1 - 0 - + 1 1 + / x x x / - + + x +], 300, 20, 0.999, 28.378, 1558983.949833, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* - 0 x x x / -1 0 0 + - - x x x / - x + -1 x + -1 -1 + / -], 300, 20, 1.0, 33.129, 1859332.030074, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* x x / x - / -1 1 - / / 1 / -1 / - -1 -1 - x x x x x x x -1 - x - x 1 1 + / 1 -1 - - / + +], 300, 18, 0.996, 29.984, 1729467.477397, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 - 1 1 + / - x x / - - x + x +], 300, 20, 0.994, 22.427, 1430986.877993, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 0 + -1 x + x x x -1 -1 + / + / / + x -1 -1 + -1 + / -], 300, 18, 0.981, 16.793, 1371074.006859, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x * x x / x 1 1 + 1 + / + x 1 1 + 1 + / * + +], 300, 16, 0.999, 23.35, 1464276.906198, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 * -1 1 - / - * -1 + x + 0 x x x 1 -1 - / - / + / x +], 300, 16, 0.999, 26.482, 1617747.662629, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x - - x 0 x -1 -1 -1 + + -1 + + / / -1 + x / + + / -], 300, 19, 0.998, 22.012, 1686027.026986, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x * 1 1 1 + + / x * - 1 1 + / / 1 1 + -1 + / - x 0 x x 1 / x + + + / / x x 1 + / - + x +], 300, 19, 1.0, 37.329, 2207819.020841, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [-1 + + 0 / / x -1 -1 - x - + x + / + x + / / - * x -1 x x * -1 + x x + - x / -1 + 0 / - / x -1 + x x + x / / x + x x / - + +], 300, 16, 1.0, 51.3, 2741722.4872, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 x 1 x -1 / -1 * x x -1 1 x 1 -1 - / -1 + 1 - / + + x -1 x + 1 -1 - / 0 x / / -1 / - + +], 300, 15, 1.0, 40.115, 1918730.880935, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 -1 x 0 1 * - 1 1 - 1 - * -1 -1 + / * + 0 1 x -1 x x - x - x x -1 + 1 1 + / + x x x / - +], 300, 20, 1.0, 39.248, 1928054.429663, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 -1 - -1 - / -1 x + 1 1 + / * 1 * x +], 300, 18, 0.993, 23.259, 1971591.056878, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 0 + + + -1 0 -1 1 / / + * x - 1 / 0 / 1 + + + - 1 0 x -1 + x + x x * x - x x + / +], 300, 20, 1.0, 36.461, 2667829.208909, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [/ 1 - 1 0 / + 0 -1 + + / 0 1 x x 0 -1 x -1 -1 -1 + x x x + / - + + -1 + / + x + + x x / -], 300, 17, 1.0, 38.31, 2208543.473286, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 + x x + x / / / / x + x + -1 + *], 300, 20, 0.992, 22.675, 2271164.325489, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [0 -1 - + + / -1 x 1 -1 -1 -1 * * x 0 - -1 x -1 x x / -1 / 0 + * / x - x x -1 x + 1 1 + / + x x / - +], 300, 20, 1.0, 49.658, 2537287.951552, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* x / * 1 1 1 + + / * -1 - + 1 / 1 x 1 1 + 1 + / * * x +], 300, 16, 1.0, 22.533, 3710401.620335, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 - 1 1 + / x x / - - - x x + +], 300, 20, 0.999, 22.792, 3675255.944747, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 - 1 1 + / x x / - x x + + + -], 300, 20, 0.999, 20.172, 3904839.860614, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* x - - / x x 1 1 -1 - + / -1 + / / x + x + x - / x +], 300, 17, 1.0, 34.819, 4500508.821869, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 - - 1 -1 - / / - - * x x / - * x x + +], 300, 20, 1.0, 23.59, 4377445.248657, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x -1 -1 -1 + + -1 + x -1 -1 -1 + + / * x - / + - / x +], 300, 14, 0.999, 28.473, 4633871.403609, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* + 0 0 0 * x 1 1 / 0 / / 1 * - -1 1 -1 x + - 1 1 + / - / + x + 0 0 * 0 -1 + -1 + * +], 300, 17, 1.0, 34.421, 4572323.563025, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x / -1 - / -1 -1 -1 -1 / x / - * / x x 1 + x 1 -1 - - / / +], 300, 20, 1.0, 31.004, 4719584.286414, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 x + + -1 x * x x / + -1 -1 + / +], 300, 20, 0.996, 22.468, 4766951.533637, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [+ x x x x -1 -1 + / + / 0 - / 1 - x + / - x 1 -1 - / +], 300, 18, 1.0, 33.767, 5140937.236761, false
1000, 300, :A005132, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 + 0 / x - - + -1 - - x x / / - 1 -1 x -1 - 0 / / / x / x x x x x x / - x -1 x + 1 -1 - / + +], 300, 20, 1.0, 38.042, 4932489.29991, false
