genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x x * x *], 300, 5784, 0.002, 0.005, 307136.474876, false
[- x x * /], 300, 7524, 0.002, 0.005, 311686.145435, false
[/ x / x *], 300, 7524, 0.002, 0.005, 306203.700054, false
[x x + x *], 300, 7241, 0.002, 0.005, 312481.524029, false
[x 1 + x *], 300, 7481, 0.002, 0.005, 313520.915912, false
[0 -1 x x *], 300, 7524, 0.002, 0.005, 316364.633566, false
[x x 1 / *], 300, 7524, 0.002, 0.005, 319887.683934, false
[x x * x *], 300, 5784, 0.002, 0.005, 314861.204288, false
[x - * x *], 300, 7524, 0.002, 0.005, 314143.829659, false
[x x * x *], 300, 5784, 0.002, 0.005, 321585.409508, false
[x x * - -], 300, 7524, 0.002, 0.005, 307601.439918, false
[+ x x * /], 300, 7524, 0.002, 0.005, 311522.696962, false
[0 - x x *], 300, 7524, 0.002, 0.005, 314575.710831, false
[x 0 x + *], 300, 7524, 0.002, 0.005, 308836.254425, false
[x x * * -], 300, 7524, 0.002, 0.005, 308931.766608, false
[x x x * *], 300, 5784, 0.002, 0.005, 318567.39113, false
[x x x * +], 300, 7481, 0.002, 0.005, 314182.75803, false
[1 x x * *], 300, 7524, 0.002, 0.005, 312002.488292, false
[+ x x * -], 300, 7524, 0.002, 0.005, 313921.983806, false
[x x x + *], 300, 7241, 0.002, 0.005, 311815.532972, false
[- x x * *], 300, 7524, 0.002, 0.005, 312266.331066, false
[x x * / /], 300, 7524, 0.002, 0.005, 355381.797678, false
[* x / x *], 300, 7524, 0.002, 0.005, 570039.575051, false
[+ -1 x x *], 300, 7524, 0.002, 0.005, 589866.410033, false
[x x -1 - *], 300, 7481, 0.002, 0.005, 598981.386043, false
[x x * - -], 300, 7524, 0.002, 0.005, 597929.478436, false
[x x x * +], 300, 7481, 0.002, 0.005, 312604.294559, false
[/ * x x *], 300, 7524, 0.002, 0.005, 610919.800295, false
[x 1 * x *], 300, 7524, 0.002, 0.005, 311407.666056, false
[* x * x *], 300, 7524, 0.002, 0.005, 636288.126782, false
[x x * 1 *], 300, 7524, 0.002, 0.005, 605218.747042, false
[x / x * *], 300, 7524, 0.002, 0.005, 604038.80085, false
[+ x x * +], 300, 7524, 0.002, 0.005, 689585.080249, false
[- x x x *], 300, 7524, 0.002, 0.005, 687947.955908, false
