genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[- 1 x x *], 300, 29602, 0.002, 0.005, 310715.613946, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 312973.268516, false
[1 x x * +], 300, 29592, 0.002, 0.005, 310715.32823, false
[x x x + *], 300, 29317, 0.002, 0.005, 307139.991036, false
[x * x * *], 300, 29602, 0.002, 0.005, 311191.711182, false
[x 1 + x *], 300, 29557, 0.002, 0.005, 303293.602908, false
[x x * 0 -], 300, 29602, 0.002, 0.005, 309306.499188, false
[x x * x +], 300, 29557, 0.002, 0.005, 306730.216885, false
[- x x * -], 300, 29602, 0.002, 0.005, 307059.19191, false
[x x x + *], 300, 29317, 0.002, 0.005, 313466.59254, false
[x 0 + x *], 300, 29602, 0.002, 0.005, 312894.931926, false
[x * x * +], 300, 29602, 0.002, 0.005, 314858.726399, false
[x x * -1 -], 300, 29592, 0.002, 0.005, 315200.659527, false
[x / + x *], 300, 29602, 0.002, 0.005, 312221.288114, false
[x 1 + x *], 300, 29557, 0.002, 0.005, 323206.04695, false
[x / * x *], 300, 29602, 0.002, 0.005, 321335.28224, false
[x x * - /], 300, 29602, 0.002, 0.005, 309518.331664, false
[x + / x *], 300, 29602, 0.002, 0.005, 308763.157155, false
[x x x * *], 300, 27862, 0.002, 0.005, 316227.884584, false
[0 / x x *], 300, 29602, 0.002, 0.005, 312373.424165, false
[x x + x *], 300, 29317, 0.002, 0.005, 312724.793127, false
[- x x x *], 300, 29602, 0.002, 0.005, 311430.719058, false
[+ 1 x x *], 300, 29602, 0.002, 0.005, 309617.591857, false
[1 x x * +], 300, 29592, 0.002, 0.005, 317136.355066, false
[x x * + *], 300, 29602, 0.002, 0.005, 311470.037148, false
[x + + x *], 300, 29602, 0.002, 0.005, 308932.662353, false
[x x x * *], 300, 27862, 0.002, 0.005, 311872.2094, false
[x / x * *], 300, 29602, 0.002, 0.005, 630066.297087, false
[0 -1 x x *], 300, 29602, 0.002, 0.005, 634889.757813, false
[x x * 1 +], 300, 29592, 0.002, 0.005, 637282.251902, false
[x x -1 - *], 300, 29557, 0.002, 0.005, 627833.93325, false
[x x * - +], 300, 29602, 0.002, 0.005, 316739.551638, false
[x x x + *], 300, 29317, 0.002, 0.005, 631072.146165, false
[/ 0 x x *], 300, 29602, 0.002, 0.005, 636771.572028, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 632338.473608, false
[x 1 + x *], 300, 29557, 0.002, 0.005, 310970.163675, false
[x - / x *], 300, 29602, 0.002, 0.005, 637872.106239, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 619202.037135, false
[x - x * +], 300, 29602, 0.002, 0.005, 637045.316236, false
[-1 x x x *], 300, 29602, 0.002, 0.005, 657727.398834, false
[x x * x *], 300, 27862, 0.002, 0.005, 633405.504215, false
[x / x * -], 300, 29602, 0.002, 0.005, 625348.280146, false
[x 1 x * *], 300, 29602, 0.002, 0.005, 639332.808013, false
[- x + x *], 300, 29602, 0.002, 0.005, 621577.338193, false
[- x + x *], 300, 29602, 0.002, 0.005, 619081.661215, false
[x x * x +], 300, 29557, 0.002, 0.005, 637354.666524, false
[-1 + x x *], 300, 29602, 0.002, 0.005, 636639.476269, false
[x x x * *], 300, 27862, 0.002, 0.005, 632462.373762, false
[x x * * *], 300, 29602, 0.002, 0.005, 630717.923594, false
[- x - x *], 300, 29602, 0.002, 0.005, 643709.773254, false
[- 0 x x *], 300, 29602, 0.002, 0.005, 306495.181672, false
[- x x * +], 300, 29602, 0.002, 0.005, 670285.517631, false
[-1 1 x x *], 300, 29602, 0.002, 0.005, 311098.378477, false
[0 1 x x *], 300, 29602, 0.002, 0.005, 315788.232981, false
[x x * - /], 300, 29602, 0.002, 0.005, 321984.687442, false
[+ * x x *], 300, 29602, 0.002, 0.005, 318493.970715, false
[x * * x *], 300, 29602, 0.002, 0.005, 317740.491801, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 320564.596034, false
[x 0 x x *], 300, 29602, 0.002, 0.005, 323200.303062, false
[x x * x +], 300, 29557, 0.002, 0.005, 317528.728213, false
[x x * 0 -], 300, 29602, 0.002, 0.005, 309487.308284, false
[x + x * +], 300, 29602, 0.002, 0.005, 311745.266719, false
[1 x + x *], 300, 29557, 0.002, 0.005, 320038.077368, false
[x x 1 + *], 300, 29557, 0.002, 0.005, 744948.863675, false
[/ x x x *], 300, 29602, 0.002, 0.005, 319346.924845, false
[- x - x *], 300, 29602, 0.002, 0.005, 703204.147692, false
[x x * x +], 300, 29557, 0.002, 0.005, 693453.492991, false
[/ 0 x x *], 300, 29602, 0.002, 0.005, 680718.338204, false
[x 1 x + *], 300, 29557, 0.002, 0.005, 714184.140514, false
[+ x x * *], 300, 29602, 0.002, 0.005, 729192.843202, false
[x + x * *], 300, 29602, 0.002, 0.005, 705947.794658, false
[1 + x x *], 300, 29602, 0.002, 0.005, 718036.404454, false
[x x * x *], 300, 27862, 0.002, 0.005, 735189.496462, false
[+ x x * *], 300, 29602, 0.002, 0.005, 730104.305805, false
[x + x * -], 300, 29602, 0.002, 0.005, 710221.58636, false
[x - / x *], 300, 29602, 0.002, 0.005, 718447.518737, false
[/ x x x *], 300, 29602, 0.002, 0.005, 713148.995628, false
[x x + x *], 300, 29317, 0.002, 0.005, 701703.02256, false
[+ x x * *], 300, 29602, 0.002, 0.005, 732347.054664, false
[- x / x *], 300, 29602, 0.002, 0.005, 707406.076575, false
[x x x + *], 300, 29317, 0.002, 0.005, 747294.344121, false
[x / + x *], 300, 29602, 0.002, 0.005, 640488.358679, false
[x x * x *], 300, 27862, 0.002, 0.005, 732303.763347, false
[/ x x * *], 300, 29602, 0.002, 0.005, 712819.918292, false
[x x * x *], 300, 27862, 0.002, 0.005, 709572.593845, false
