population_size, max_generations, sequence, selection_type, tournament_size, has_crossover, crossover_type, has_mutation, umad_add_rate, umad_del_rate, has_elitism, genome, generations_taken, best_error, diversity, avg_size, time_taken, found_solution
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x x * 1 x 1 + + 1 + + 1 +], 5, 0, 0.728, 10.179, 7849.087073, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 1 + x + x x * + 1 1 + +], 7, 0, 0.819, 10.6, 11077.363826, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x 1 1 x x * 1 1 + + + + +], 7, 0, 0.682, 9.475, 12150.758406, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [-1 0 -1 * 1 x 1 x + 1 + x x * 1 1 + + +], 8, 0, 0.945, 13.989, 15703.983463, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [x 1 1 1 x x * + -1 - + + +], 9, 0, 0.897, 11.279, 16605.420097, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 1 + 1 + x + + x x * +], 5, 0, 0.78, 9.337, 15095.877287, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [+ x 1 + + x * 1 1 1 + + 1 + +], 9, 0, 0.928, 12.489, 17822.331429, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 + 1 + + x 1 + x * +], 10, 0, 0.861, 11.235, 17971.36792, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [1 x x * 1 + + 1 x + + 1 + +], 8, 0, 0.866, 10.75, 17784.079984, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [/ x x * 1 + / 1 1 + + -1 - x +], 7, 0, 0.856, 11.541, 21962.705414, true
1000, 300, :simple, :lexicase-selection, 0, false, :single-point-crossover, true, 0.09, 0.1, true, [+ x / -1 - + 1 + x x * + -1 - 1 +], 12, 0, 0.918, 15.428, 21944.537613, true
