population_size, max_generations, sequence, selection_type, tournament_size, has_crossover, crossover_type, has_mutation, umad_add_rate, umad_del_rate, has_elitism, genome, generations_taken, best_error, diversity, avg_size, time_taken, found_solution
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x x * + 1 -1 - x 1 + + +], 7, 0, 0.981, 11.511, 13171.419733, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 1 1 x x x * + + + + 1 +], 7, 0, 0.966, 12.652, 13127.715423, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x x * x + 1 + 1 + + * 1 +], 9, 0, 0.938, 10.893, 16874.147779, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x 1 x x * 1 + + 1 + + +], 7, 0, 0.867, 10.986, 11476.023228, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x * 1 1 + 1 1 + + x + +], 6, 0, 0.949, 11.598, 10440.194154, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x 1 + x x * + 1 1 + + 1 +], 5, 0, 0.939, 11.206, 7965.845046, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 -1 - + x x * 1 + 1 + 1 * +], 8, 0, 0.979, 13.071, 14558.105064, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x + x * 1 1 + + + 1 x + + 1 + +], 6, 0, 0.924, 11.17, 9492.293434, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x x * 1 + x 1 1 + + + +], 5, 0, 0.905, 10.622, 20006.027814, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [+ x 1 1 1 -1 - + x + x x * + +], 7, 0, 0.915, 11.179, 23068.187596, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x * + 1 + 1 1 1 + + +], 6, 0, 0.924, 10.27, 9273.941085, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 1 1 + x x x * 1 + + + 1 0 + +], 6, 0, 0.973, 12.336, 10053.01929, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x -1 - -1 - -1 - * x x * -1 - +], 6, 0, 0.943, 11.166, 9164.994604, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x x * + -1 -1 + -1 + -1 + - +], 6, 0, 0.924, 11.531, 9159.578419, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [1 x 1 x x * + 1 + + + 1 + +], 6, 0, 0.89, 10.991, 18314.886832, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [* 1 x + 1 1 + x x * -1 - + +], 8, 0, 0.941, 10.197, 28129.530218, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x x * 1 1 x 1 + + 1 + + +], 6, 0, 0.876, 11.326, 18275.285055, true
1000, 300, :simple, :lexicase-selection, 0, true, :single-point-crossover, true, 0.09, 0.1, true, [x 1 1 + x x * + + -1 - 1 + *], 8, 0, 0.971, 11.571, 31740.448477, true
