genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x * x * /], 300, 30, 0.002, 0.005, 315173.560947, false
[x 0 x + *], 300, 30, 0.002, 0.005, 316405.181212, false
[+ / x x *], 300, 30, 0.002, 0.005, 317057.39538, false
[x x + x *], 300, 20, 0.002, 0.005, 317679.917081, false
[x x * 1 *], 300, 30, 0.002, 0.005, 320269.818687, false
[0 - x x *], 300, 30, 0.002, 0.005, 320791.543607, false
[+ x - x *], 300, 30, 0.002, 0.005, 321940.873649, false
[x x * + +], 300, 30, 0.002, 0.005, 323532.177148, false
[x 1 x x *], 300, 30, 0.002, 0.005, 366515.882635, false
[x 1 + x *], 300, 20, 0.002, 0.005, 368573.391078, false
[x + x * /], 300, 30, 0.002, 0.005, 369954.510675, false
[x x * - /], 300, 30, 0.002, 0.005, 372160.188478, false
[0 x x x *], 300, 30, 0.002, 0.005, 372328.307089, false
[1 x + x *], 300, 20, 0.002, 0.005, 373548.609831, false
[x x x + +], 300, 30, 0.002, 0.005, 376999.632932, false
[x x * x +], 300, 20, 0.002, 0.005, 382036.963387, false
[1 x + x *], 300, 20, 0.002, 0.005, 386621.872042, false
[+ * x x *], 300, 30, 0.002, 0.005, 387720.542244, false
[x x * x +], 300, 20, 0.002, 0.005, 391460.554853, false
[x - x * +], 300, 30, 0.002, 0.005, 395335.439589, false
[x x * - +], 300, 30, 0.002, 0.005, 399068.016895, false
[x 1 x x *], 300, 30, 0.002, 0.005, 401447.987967, false
[x 1 x * +], 300, 40, 0.002, 0.005, 400229.611027, false
[x x * - /], 300, 30, 0.002, 0.005, 406137.313087, false
[x x * + +], 300, 30, 0.002, 0.005, 409840.173232, false
[x 0 x + *], 300, 30, 0.002, 0.005, 350537.48688, false
[x 1 x + *], 300, 20, 0.002, 0.005, 360618.11632, false
[-1 / x x *], 300, 30, 0.002, 0.005, 317381.603684, false
[x - - x *], 300, 30, 0.002, 0.005, 315826.717973, false
[x / * x *], 300, 30, 0.002, 0.005, 313498.059289, false
[x * x * /], 300, 30, 0.002, 0.005, 319131.445552, false
[x 1 x + *], 300, 20, 0.002, 0.005, 316915.318197, false
[1 x x * +], 300, 25, 0.002, 0.005, 321115.377673, false
[x x x + *], 300, 20, 0.002, 0.005, 326375.346017, false
[x 1 x + *], 300, 20, 0.002, 0.005, 300751.494106, false
[/ -1 x x *], 300, 30, 0.002, 0.005, 326418.696844, false
[x x * + -], 300, 30, 0.002, 0.005, 312379.270675, false
[x x -1 - *], 300, 20, 0.002, 0.005, 327545.784956, false
[x / x * -], 300, 30, 0.002, 0.005, 334622.467215, false
[x * / x *], 300, 30, 0.002, 0.005, 332814.484252, false
[x x x + *], 300, 20, 0.002, 0.005, 330336.196362, false
[x 1 x + *], 300, 20, 0.002, 0.005, 306944.329855, false
[x x x * +], 300, 20, 0.002, 0.005, 332587.720627, false
[/ -1 x x *], 300, 30, 0.002, 0.005, 334608.282428, false
[* x x * *], 300, 30, 0.002, 0.005, 329962.783309, false
[x x * + *], 300, 30, 0.002, 0.005, 489471.416341, false
[- 0 x x *], 300, 30, 0.002, 0.005, 490060.464525, false
[x x * 1 +], 300, 25, 0.002, 0.005, 496179.769837, false
[x x x + *], 300, 20, 0.002, 0.005, 497442.698002, false
[1 x x * +], 300, 25, 0.002, 0.005, 504828.074328, false
[x x 0 + *], 300, 30, 0.002, 0.005, 506786.491366, false
[x x * -1 -], 300, 25, 0.002, 0.005, 507160.727608, false
[1 x + x *], 300, 20, 0.002, 0.005, 506746.513579, false
[* 0 x x *], 300, 30, 0.002, 0.005, 506126.398895, false
[x x x * +], 300, 20, 0.002, 0.005, 513802.119317, false
[* x x * -], 300, 30, 0.002, 0.005, 516889.381346, false
[x 1 + x *], 300, 20, 0.002, 0.005, 517066.448427, false
[x x * + /], 300, 30, 0.002, 0.005, 517650.38624, false
[x x * -1 -], 300, 25, 0.002, 0.005, 519495.083482, false
[-1 * x x *], 300, 30, 0.002, 0.005, 525445.088483, false
[x x * -1 -], 300, 25, 0.002, 0.005, 532980.804236, false
[0 + x x *], 300, 30, 0.002, 0.005, 530855.639607, false
[x * - x *], 300, 30, 0.002, 0.005, 537701.395392, false
