genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[+ / x x *], 300, 30, 0.002, 0.005, 345030.198052, false
[- -1 x x *], 300, 30, 0.002, 0.005, 344315.720716, false
[x x x + *], 300, 20, 0.002, 0.005, 312036.287408, false
[x / - x *], 300, 30, 0.002, 0.005, 322474.715607, false
[0 1 x x *], 300, 30, 0.002, 0.005, 322375.462521, false
[x x * x +], 300, 20, 0.002, 0.005, 331407.954442, false
[+ x / x *], 300, 30, 0.002, 0.005, 320367.295894, false
[* x x * /], 300, 30, 0.002, 0.005, 342720.065922, false
[- 0 x x *], 300, 30, 0.002, 0.005, 365924.711156, false
[- -1 x x *], 300, 30, 0.002, 0.005, 312740.692208, false
[0 * x x *], 300, 30, 0.002, 0.005, 311532.90787, false
[+ x x * /], 300, 30, 0.002, 0.005, 313023.567155, false
[x x * 1 /], 300, 30, 0.002, 0.005, 316393.695039, false
[0 x x x *], 300, 30, 0.002, 0.005, 311561.776276, false
[x + - x *], 300, 30, 0.002, 0.005, 320470.557368, false
[1 x x * +], 300, 25, 0.002, 0.005, 320024.177426, false
[x / + x *], 300, 30, 0.002, 0.005, 315681.668691, false
[x -1 x x *], 300, 30, 0.002, 0.005, 342516.152495, false
[x 1 / x *], 300, 30, 0.002, 0.005, 338862.325858, false
[0 x + x *], 300, 30, 0.002, 0.005, 341722.739468, false
[* + x x *], 300, 30, 0.002, 0.005, 585779.866657, false
[1 -1 x x *], 300, 30, 0.002, 0.005, 587903.669348, false
[x - x x *], 300, 30, 0.002, 0.005, 309258.773029, false
[+ x + x *], 300, 30, 0.002, 0.005, 323064.415517, false
[x / x * +], 300, 30, 0.002, 0.005, 602362.185127, false
[x x * 1 +], 300, 25, 0.002, 0.005, 601929.499227, false
[x + x * *], 300, 30, 0.002, 0.005, 604720.732519, false
[* 1 x x *], 300, 30, 0.002, 0.005, 608202.836626, false
[x x * -1 -], 300, 25, 0.002, 0.005, 606719.874734, false
[0 * x x *], 300, 30, 0.002, 0.005, 617654.852703, false
[x 1 + x *], 300, 20, 0.002, 0.005, 623199.875573, false
[1 1 x x *], 300, 30, 0.002, 0.005, 310227.876182, false
[x - * x *], 300, 30, 0.002, 0.005, 305996.557034, false
[x x * + +], 300, 30, 0.002, 0.005, 311965.569738, false
[x -1 - x *], 300, 20, 0.002, 0.005, 325647.64286, false
[x x x + *], 300, 20, 0.002, 0.005, 320733.442456, false
[x / x * +], 300, 30, 0.002, 0.005, 315837.071223, false
[x x * 1 /], 300, 30, 0.002, 0.005, 321256.275971, false
[x x 0 - *], 300, 30, 0.002, 0.005, 316597.949108, false
[x x x + *], 300, 20, 0.002, 0.005, 569844.839987, false
[x x x + *], 300, 20, 0.002, 0.005, 590841.879712, false
[x x 0 + *], 300, 30, 0.002, 0.005, 580110.589652, false
[x x * 1 +], 300, 25, 0.002, 0.005, 312897.024656, false
[0 x x * +], 300, 30, 0.002, 0.005, 297760.171547, false
[x 1 x + *], 300, 20, 0.002, 0.005, 600427.13703, false
[x -1 - x *], 300, 20, 0.002, 0.005, 311538.827795, false
[+ x x * *], 300, 30, 0.002, 0.005, 573260.532723, false
[* * x x *], 300, 30, 0.002, 0.005, 308088.044882, false
[x x * 1 +], 300, 25, 0.002, 0.005, 324210.161927, false
[x - x * /], 300, 30, 0.002, 0.005, 314815.126193, false
[x * x * *], 300, 30, 0.002, 0.005, 306131.263176, false
[/ x / x *], 300, 30, 0.002, 0.005, 309353.087389, false
[x 0 x x *], 300, 30, 0.002, 0.005, 592618.164102, false
[x + + x *], 300, 30, 0.002, 0.005, 599902.720172, false
[1 * x x *], 300, 30, 0.002, 0.005, 316594.54956, false
[x 1 x + *], 300, 20, 0.002, 0.005, 587013.456907, false
[x - x x *], 300, 30, 0.002, 0.005, 313444.596969, false
[x x * x +], 300, 20, 0.002, 0.005, 605885.024576, false
[x x 1 * *], 300, 30, 0.002, 0.005, 603586.273902, false
[x x 0 + *], 300, 30, 0.002, 0.005, 309531.531142, false
[/ 0 x x *], 300, 30, 0.002, 0.005, 599773.932819, false
[x x * 0 +], 300, 30, 0.002, 0.005, 304772.491993, false
[x x x * +], 300, 20, 0.002, 0.005, 628161.198584, false
[x + / x *], 300, 30, 0.002, 0.005, 601739.088209, false
[+ x + x *], 300, 30, 0.002, 0.005, 610462.895417, false
