genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x x * 1 1 + x + 1 + + -1 - + + +], 16, 0, 1.0, 13.68, 10875.562272, true
[/ x x x x 1 1 x / / x x x / - + * -1 * - + 1 -1 - *], 200, 2, 1.0, 24.11, 245485.988593, false
[1 1 1 x -1 - + + + x x * +], 8, 0, 0.985, 12.19, 4254.811505, true
[1 * 1 x x 1 + * + + + + 1 -1 - + *], 137, 0, 1.0, 13.14, 111248.708735, true
[1 * x / / / 1 - - x + x x + + 1 -1 - *], 200, 2, 1.0, 19.57, 227809.395058, false
[0 1 -1 - 1 1 + x 1 x + * + +], 15, 0, 1.0, 13.24, 10238.084852, true
[x x 1 + * * 1 / / 1 + + * 1 1 + + 1 +], 58, 0, 0.975, 18.215, 52337.311511, true
[x x * 1 -1 - + 1 + 0 + x 1 + +], 16, 0, 0.995, 16.385, 11615.97842, true
[+ - 1 x 1 + 1 x x * + + + + 1 + * +], 17, 0, 0.99, 13.63, 11542.387581, true
[+ 1 1 + x x x * 1 + + 1 + +], 8, 0, 0.99, 12.475, 4219.093983, true
[1 1 + 1 x + x * 1 + 1 + 1 * +], 8, 0, 0.955, 11.215, 3730.126613, true
[x x * x + 1 1 + 1 + + + 1 + *], 22, 0, 0.99, 12.17, 14380.412414, true
[1 1 + 0 + / + x x 1 + * 1 + 1 + +], 24, 0, 1.0, 16.975, 18575.607705, true
[x / 1 1 1 x x * + + 1 + + + + 1 *], 24, 0, 0.99, 13.005, 15983.05737, true
[1 x + 1 x x * + + * 1 1 + + + +], 21, 0, 1.0, 14.43, 14040.010113, true
[x 1 0 + x 1 1 + + 1 x x * + 1 + +], 18, 0, 0.98, 12.46, 11603.438739, true
[x 1 + x 0 + * / -1 - -1 - * * 1 + 1 + +], 10, 0, 1.0, 13.825, 5760.287749, true
[+ 1 -1 - x -1 - x * + -1 - -1 - * +], 24, 0, 1.0, 12.995, 15751.373613, true
[* x x * x 1 + -1 - + 1 + 0 1 + + +], 39, 0, 1.0, 17.475, 33928.962769, true
[+ 1 1 + + / * 1 x 1 x + * + 1 + +], 40, 0, 1.0, 14.11, 29470.22458, true
[x x * 1 + * + 1 + x + -1 - * 1 1 * +], 15, 0, 0.99, 15.125, 9966.715707, true
[1 + 1 + 1 + 1 + x x * x + +], 10, 0, 0.97, 13.01, 5906.564989, true
[1 x 1 + + * - -1 - 1 + x x * + - +], 10, 0, 1.0, 12.76, 6447.008927, true
[1 -1 - -1 - x 1 x + * 1 + + +], 14, 0, 0.985, 12.47, 9209.179265, true
[x 1 + * * * x * 1 1 + 1 + + -1 -], 21, 0, 0.99, 12.41, 15496.867947, true
[x x * * + 1 * x 1 + 1 + + + -1 - + / / 1 +], 16, 0, 0.995, 16.18, 11387.115377, true
[1 1 x x * 1 x + + 1 + + +], 13, 0, 0.995, 11.87, 8099.90251, true
[1 / x x * 1 + 1 x + + + + 1 + +], 31, 0, 0.995, 16.65, 25744.845017, true
[x x * + x + 1 1 + 1 1 + * +], 28, 0, 1.0, 15.045, 24735.816542, true
[1 -1 - x - / + + x 1 + 1 x + * 1 + +], 77, 0, 0.995, 16.7, 59981.081201, true
[- x x * 1 1 + + * x + * 1 1 + + *], 20, 0, 0.995, 17.745, 15927.771875, true
[1 1 1 x x * + + 1 x + + 1 + *], 38, 0, 0.99, 13.075, 32316.287049, true
[1 * 1 + * * 0 x x 1 + * + + 1 1 + +], 30, 0, 0.995, 13.9, 22783.221067, true
[1 1 1 + -1 - x 1 + x * + -1 -], 27, 0, 1.0, 15.21, 19796.831092, true
[/ x x x * 0 + 1 1 1 + + 1 x + + +], 17, 0, 1.0, 17.215, 13060.504989, true
[1 x x / / * x - x 1 + x 1 + * + 1 + + 1 +], 35, 0, 1.0, 20.385, 33516.976863, true
[1 1 0 + + + / + 1 1 1 1 1 + + x 1 x + * + + *], 33, 0, 1.0, 19.505, 29071.806669, true
[x / x x x * 1 + + 1 + 1 1 + +], 40, 0, 1.0, 13.82, 31209.607774, true
[x x x * 1 1 1 + + + + 1 + + *], 70, 0, 0.985, 15.725, 62233.591524, true
[x x 1 + * 1 + 0 1 + + 0 x - + + 1 + + 1 + + - x +], 32, 0, 1.0, 18.105, 25982.970344, true
[x x 1 + * 0 + -1 - 1 + * + * 1 1 + + * / - + * + /], 31, 0, 1.0, 17.215, 29145.63461, true
[x 1 1 + 1 x + 1 + x x * + +], 12, 0, 0.995, 11.745, 7271.55686, true
[1 x 1 1 x x * + * + + -1 1 - -], 14, 0, 0.995, 13.105, 9897.138878, true
[1 - 1 1 1 + + x x * + + + + x +], 9, 0, 0.97, 11.675, 5787.168692, true
[1 1 1 + x x * + -1 - + x + -], 8, 0, 0.97, 11.245, 4375.051883, true
[x 1 + * x * + 1 1 1 -1 - + + +], 7, 0, 0.985, 10.355, 3817.162183, true
