genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[1 1 x + x x * + + + 1 1 + +], 20, 0, 1.0, 13.17, 13541.669494, true
[x -1 x x x -1 - * - + - 1 + -1 - -1 - +], 30, 0, 1.0, 13.555, 20769.959069, true
[+ 1 / 1 x x * 1 x + + + 1 + +], 46, 0, 1.0, 15.17, 34021.875834, true
[x -1 x x * - -1 + -1 * + -1 - / -1 -], 18, 0, 1.0, 14.825, 12543.244818, true
[1 1 1 x x 1 + * 0 + + 1 + + +], 50, 0, 1.0, 16.175, 39409.798083, true
[1 1 1 1 x 1 x + * + + + + *], 26, 0, 1.0, 13.575, 18237.00037, true
[+ x + -1 - x * -1 - 1 + 1 1 / + * 1 + /], 30, 0, 1.0, 17.705, 17799.178407, true
[1 x 1 + x * + 1 + 1 1 + +], 47, 0, 1.0, 13.905, 37767.966084, true
[x + x * 0 1 + + 1 1 + 1 x + + +], 15, 0, 1.0, 17.215, 10086.444675, true
[1 x 0 1 1 1 x 1 / + 1 + 1 + + * x x 0 + * + +], 37, 0, 1.0, 20.365, 29995.422474, true
[1 1 1 1 * x x * + + + * + - + 1 + x + +], 26, 0, 1.0, 15.805, 18004.352023, true
[1 x x * + + 0 / 1 x + + 1 1 + + +], 28, 0, 1.0, 13.905, 20480.586199, true
[1 - 1 + + x -1 x - * - -1 - * -1 - - -], 38, 0, 1.0, 17.555, 26292.081044, true
[x x 1 1 * + * 1 1 0 1 + + + 1 + + +], 71, 0, 1.0, 15.34, 56147.660394, true
[x x * 1 1 + + -1 x -1 - - - *], 23, 0, 0.995, 10.945, 13732.553779, true
[x * x * * * 1 1 x 1 + + 1 + + +], 34, 0, 1.0, 16.275, 27611.25777, true
[x - - * 1 x x * + 1 1 + + 1 x + +], 49, 0, 1.0, 17.825, 41310.49297, true
[1 x x * x 1 + + 1 + + 1 + + + * +], 47, 0, 1.0, 15.36, 35252.888539, true
[1 x x x x * 1 1 + + 1 + + 1 +], 29, 0, 1.0, 14.655, 19682.774778, true
[x x * / x 1 1 0 + + 1 + + + + 1 +], 10, 0, 1.0, 13.11, 5869.422495, true
[1 x 1 x x * + + + + 1 + - 1 +], 22, 0, 1.0, 16.345, 15254.756624, true
[x / x x x * x 0 - 1 + 1 1 + + 1 + +], 19, 0, 1.0, 15.775, 14235.984938, true
[x 1 x + * 1 1 1 + 1 + + + -], 15, 0, 1.0, 14.915, 10865.353238, true
[1 x x * 1 + x 1 + 1 + + +], 36, 0, 1.0, 14.485, 28865.490748, true
[1 + x x 1 + * 1 + + 1 1 + +], 23, 0, 1.0, 13.855, 16649.575535, true
[x * * 1 1 + x x * + x - 1 + + + 1 + + x +], 38, 0, 1.0, 23.365, 31932.813914, true
[x + 1 x x * 1 x 1 + + + + 1 +], 42, 0, 1.0, 16.76, 33626.559228, true
[1 0 x 1 1 + x 1 1 x x * + + + +], 53, 0, 1.0, 11.925, 42884.480083, true
[1 x / 1 x x * * 1 -1 - + 1 + x + 1 +], 29, 0, 1.0, 14.155, 22357.497779, true
[x / / x * x 1 1 1 + + 1 + + + /], 55, 0, 1.0, 14.38, 46672.555374, true
[1 / x 1 * + 1 x x * + 1 + + + 1 +], 9, 0, 0.995, 11.59, 6117.420122, true
[x - x * -1 - 1 1 1 + + + + + x + 1 + + 1 -1 / +], 20, 0, 1.0, 16.475, 15149.777293, true
[x 1 x + * 1 1 1 + + 1 / 0 / 1 + + +], 15, 0, 1.0, 14.885, 11363.069924, true
[1 0 1 x x 1 + * + 1 + + + 1 +], 34, 0, 1.0, 13.785, 26773.256133, true
[1 1 1 + 0 x x * x + + + 1 + +], 40, 0, 1.0, 16.965, 32326.514269, true
[1 x x * x + + + 1 1 + + 1 +], 21, 0, 1.0, 12.52, 14816.215963, true
[1 1 + 1 1 / 1 + * x x * x + +], 12, 0, 1.0, 13.3, 8346.633389, true
[- x x x * 1 1 1 + 1 + + + +], 61, 0, 1.0, 14.61, 50512.768784, true
[* * 0 / x * 1 x + x * 1 + 1 + 1 + 1 + +], 77, 0, 1.0, 17.865, 68739.31538, true
[1 0 x x * x 1 + + 1 + 1 + + + +], 47, 0, 1.0, 14.895, 38159.237967, true
[1 x x * + 1 x 1 + + + + -1 -], 15, 0, 1.0, 15.62, 10286.932358, true
[1 -1 - x x * + + x + 1 + 1 + / + /], 61, 0, 1.0, 15.02, 53299.790752, true
