genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[x -1 - x 1 + * +], 200, 7, 0.92, 5.77, 5369.080372, false
[x x x * x 1 + + +], 200, 7, 0.95, 6.36, 5504.960102, false
[x / x x * x + + 0 1 + + 1 +], 200, 6, 0.98, 6.47, 5735.21133, false
[x x * / + x + x 1 + +], 200, 7, 0.995, 7.56, 5467.020883, false
[x 1 + 1 x + *], 200, 7, 0.99, 6.625, 5642.817016, false
[1 * x + x 1 + * +], 200, 7, 0.99, 6.895, 5624.571724, false
[x x x x * 1 + + + 1 +], 200, 6, 0.99, 7.35, 5654.308552, false
[x x x 1 + x -1 - *], 200, 7, 0.9, 5.72, 5325.926878, false
[x 1 + + 1 x + *], 200, 7, 0.915, 5.7, 5447.865393, false
[x x 0 / 1 + + 1 x + *], 200, 7, 0.995, 6.79, 5540.312385, false
[x x x * + x + 0 + 1 +], 200, 7, 0.935, 5.57, 5332.449055, false
[x / 1 + + + x 1 + *], 200, 7, 0.99, 6.155, 5485.755352, false
[x 1 x + 1 + * + 1 +], 200, 7, 0.99, 7.14, 5452.710717, false
[1 x -1 * - - x 1 + *], 200, 7, 0.95, 5.52, 5392.719935, false
[x 1 + x 1 + *], 200, 7, 0.915, 5.295, 5314.827867, false
[* 1 1 x + x 1 + * +], 200, 6, 0.97, 6.08, 5430.004255, false
[x x x * 1 x x + + +], 200, 7, 0.945, 6.14, 5629.978894, false
[x x * 1 1 + 0 - + * x + / 1 +], 200, 5, 0.975, 6.355, 5572.91946, false
[x x 1 + x 1 + *], 200, 7, 0.955, 6.465, 5575.379996, false
[x * x x * 1 + + x + 1 +], 200, 6, 0.955, 5.97, 5451.238438, false
